date,bike_count
2013-01-16,3167.0
2013-01-17,2629.0
2013-01-18,2869.0
2013-01-19,2035.0
2013-01-20,445.0
2013-01-21,2260.0
2013-01-22,3172.0
2013-01-23,3588.0
2013-01-24,3623.0
2013-01-25,3350.0
2013-01-26,2273.0
2013-01-27,928.0
2013-01-28,3873.0
2013-01-29,2585.0
2013-01-30,3217.0
2013-01-31,4065.0
2013-02-01,2918.0
2013-02-02,2069.0
2013-02-03,1181.0
2013-02-04,2889.0
2013-02-05,3436.0
2013-02-06,3363.0
2013-02-07,3430.0
2013-02-08,3269.0
2013-02-09,1717.0
2013-02-10,789.0
2013-02-11,2966.0
2013-02-12,2673.0
2013-02-13,3409.0
2013-02-14,3337.0
2013-02-15,2952.0
2013-02-16,2337.0
2013-02-17,967.0
2013-02-18,3728.0
2013-02-19,3305.0
2013-02-20,3518.0
2013-02-21,3435.0
2013-02-22,2908.0
2013-02-23,1506.0
2013-02-24,740.0
2013-02-25,2865.0
2013-02-26,2936.0
2013-02-27,3486.0
2013-02-28,3644.0
2013-03-01,3635.0
2013-03-02,2559.0
2013-03-03,1185.0
2013-03-04,3994.0
2013-03-05,4205.0
2013-03-06,4432.0
2013-03-07,4490.0
2013-03-08,4282.0
2013-03-09,3142.0
2013-03-10,1288.0
2013-03-11,3274.0
2013-03-12,2728.0
2013-03-13,3084.0
2013-03-14,3431.0
2013-03-15,3709.0
2013-03-16,2827.0
2013-03-17,781.0
2013-03-18,3180.0
2013-03-19,3264.0
2013-03-20,3392.0
2013-03-21,4248.0
2013-03-22,4192.0
2013-03-23,2276.0
2013-03-24,975.0
2013-03-25,2813.0
2013-03-26,3247.0
2013-03-27,3615.0
2013-03-28,3729.0
2013-03-29,950.0
2013-03-30,2255.0
2013-03-31,587.0
2013-04-01,913.0
2013-04-02,3549.0
2013-04-03,3617.0
2013-04-04,4013.0
2013-04-05,3700.0
2013-04-06,2924.0
2013-04-07,1536.0
2013-04-08,4218.0
2013-04-09,3768.0
2013-04-10,3729.0
2013-04-11,3811.0
2013-04-12,3882.0
2013-04-13,3588.0
2013-04-14,2235.0
2013-04-15,6090.0
2013-04-16,6255.0
2013-04-17,6537.0
2013-04-18,5983.0
2013-04-19,5465.0
2013-04-20,2794.0
2013-04-21,1561.0
2013-04-22,5709.0
2013-04-23,6380.0
2013-04-24,6753.0
2013-04-25,6961.0
2013-04-26,5204.0
2013-04-27,1923.0
2013-04-28,1703.0
2013-04-29,5981.0
2013-04-30,5246.0
2013-05-01,2408.0
2013-05-02,6802.0
2013-05-03,5301.0
2013-05-04,2560.0
2013-05-05,2427.0
2013-05-06,6658.0
2013-05-07,6244.0
2013-05-08,7710.0
2013-05-09,2356.0
2013-05-10,5825.0
2013-05-11,3719.0
2013-05-12,1443.0
2013-05-13,4967.0
2013-05-14,6730.0
2013-05-15,6541.0
2013-05-16,5813.0
2013-05-17,5268.0
2013-05-18,4547.0
2013-05-19,1179.0
2013-05-20,1499.0
2013-05-21,5293.0
2013-05-22,4243.0
2013-05-23,4165.0
2013-05-24,4444.0
2013-05-25,3705.0
2013-05-26,830.0
2013-05-27,4871.0
2013-05-28,5063.0
2013-05-29,3211.0
2013-05-30,2358.0
2013-05-31,1996.0
2013-06-01,1827.0
2013-06-02,2166.0
2013-06-03,5507.0
2013-06-04,6284.0
2013-06-05,6897.0
2013-06-06,7552.0
2013-06-07,7101.0
2013-06-08,5091.0
2013-06-09,2155.0
2013-06-10,5379.0
2013-06-11,7031.0
2013-06-12,7574.0
2013-06-13,7791.0
2013-06-14,7719.0
2013-06-15,5389.0
2013-06-16,2977.0
2013-06-17,7646.0
2013-06-18,7527.0
2013-06-19,7460.0
2013-06-20,7050.0
2013-06-21,6864.0
2013-06-22,5372.0
2013-06-23,2611.0
2013-06-24,6478.0
2013-06-25,6426.0
2013-06-26,7306.0
2013-06-27,6388.0
2013-06-28,7283.0
2013-06-29,3874.0
2013-06-30,2665.0
2013-07-01,7941.0
2013-07-02,8295.0
2013-07-03,5431.0
2013-07-04,7232.0
2013-07-05,7662.0
2013-07-06,5680.0
2013-07-07,2827.0
2013-07-08,7790.0
2013-07-09,8126.0
2013-07-10,8379.0
2013-07-11,8482.0
2013-07-12,8243.0
2013-07-13,5827.0
2013-07-14,2964.0
2013-07-15,8059.0
2013-07-16,8317.0
2013-07-17,8313.0
2013-07-18,8258.0
2013-07-19,7850.0
2013-07-20,5904.0
2013-07-21,3235.0
2013-07-22,7681.0
2013-07-23,7373.0
2013-07-24,7068.0
2013-07-25,7847.0
2013-07-26,7198.0
2013-07-27,4709.0
2013-07-28,2018.0
2013-07-29,5559.0
2013-07-30,7327.0
2013-07-31,7457.0
2013-08-01,7272.0
2013-08-02,6493.0
2013-08-03,5296.0
2013-08-04,2739.0
2013-08-05,6380.0
2013-08-06,6103.0
2013-08-07,5454.0
2013-08-08,5944.0
2013-08-09,5935.0
2013-08-10,4669.0
2013-08-11,2332.0
2013-08-12,5959.0
2013-08-13,5760.0
2013-08-14,6190.0
2013-08-15,6431.0
2013-08-16,6096.0
2013-08-17,4567.0
2013-08-18,2286.0
2013-08-19,4482.0
2013-08-20,6006.0
2013-08-21,5962.0
2013-08-22,6049.0
2013-08-23,5751.0
2013-08-24,3423.0
2013-08-25,1149.0
2013-08-26,4621.0
2013-08-27,5530.0
2013-08-28,5517.0
2013-08-29,6196.0
2013-08-30,5952.0
2013-08-31,4132.0
2013-09-01,2069.0
2013-09-02,6224.0
2013-09-03,6871.0
2013-09-04,6572.0
2013-09-05,6846.0
2013-09-06,6768.0
2013-09-07,4927.0
2013-09-08,2024.0
2013-09-09,6244.0
2013-09-10,6064.0
2013-09-11,4530.0
2013-09-12,4104.0
2013-09-13,5890.0
2013-09-14,3512.0
2013-09-15,1614.0
2013-09-16,4744.0
2013-09-17,5439.0
2013-09-18,4443.0
2013-09-19,6137.0
2013-09-20,5551.0
2013-09-21,4964.0
2013-09-22,2402.0
2013-09-23,6483.0
2013-09-24,6481.0
2013-09-25,6628.0
2013-09-26,5455.0
2013-09-27,6571.0
2013-09-28,4873.0
2013-09-29,1912.0
2013-09-30,6069.0
2013-10-01,6811.0
2013-10-02,6751.0
2013-10-03,2247.0
2013-10-04,5586.0
2013-10-05,2291.0
2013-10-06,1056.0
2013-10-07,6109.0
2013-10-08,6575.0
2013-10-09,6475.0
2013-10-10,4405.0
2013-10-11,4857.0
2013-10-12,3677.0
2013-10-13,2662.0
2013-10-14,5475.0
2013-10-15,4749.0
2013-10-16,6145.0
2013-10-17,6300.0
2013-10-18,6415.0
2013-10-19,4958.0
2013-10-20,1452.0
2013-10-21,6932.0
2013-10-22,7391.0
2013-10-23,5599.0
2013-10-24,7244.0
2013-10-25,6751.0
2013-10-26,4914.0
2013-10-27,1657.0
2013-10-28,5783.0
2013-10-29,6495.0
2013-10-30,6631.0
2013-10-31,6688.0
2013-11-01,1959.0
2013-11-02,3608.0
2013-11-03,1407.0
2013-11-04,5111.0
2013-11-05,6142.0
2013-11-06,5270.0
2013-11-07,6367.0
2013-11-08,4556.0
2013-11-09,4308.0
2013-11-10,1273.0
2013-11-11,5868.0
2013-11-12,6143.0
2013-11-13,5530.0
2013-11-14,5901.0
2013-11-15,5652.0
2013-11-16,3920.0
2013-11-17,1849.0
2013-11-18,6067.0
2013-11-19,4939.0
2013-11-20,4091.0
2013-11-21,4968.0
2013-11-22,3813.0
2013-11-23,2929.0
2013-11-24,1511.0
2013-11-25,4743.0
2013-11-26,4841.0
2013-11-27,4767.0
2013-11-28,4685.0
2013-11-29,4125.0
2013-11-30,2817.0
2013-12-01,1584.0
2013-12-02,4581.0
2013-12-03,4588.0
2013-12-04,4469.0
2013-12-05,4367.0
2013-12-06,3906.0
2013-12-07,2318.0
2013-12-08,1400.0
2013-12-09,4471.0
2013-12-10,4645.0
