"date","temperature","humidity","windspeed","wind_direction","visibility","precipitation","sun","windspeed_max","precip_indic","precip_type"
2012-04-25,12.0388888888889,65.6111111111111,3.03333333333333,183.333333333333,53611.1111111111,0,294,12,0,0
2012-04-26,14.1944444444444,66.1111111111111,2.84444444444444,249.444444444444,52555.5555555556,0,176,10,0,0
2012-04-27,15.2333333333333,68.6666666666667,1.50555555555556,235,45055.5555555556,0.1,373,5,0,0
2012-04-28,22.2,53.4444444444444,2.7,153.888888888889,41500,0,678,8,0,0
2012-04-29,17.9944444444444,62.2222222222222,3.95,214.444444444444,52777.7777777778,3.7,319,16,0,0
2012-04-30,19.6888888888889,60.8333333333333,3.98333333333333,78.8888888888889,48222.2222222222,0,322,12,0,0
2012-05-01,16.9888888888889,61.5,3.01111111111111,247.222222222222,63055.5555555556,0,618,9,0,0
2012-05-02,16.4444444444444,69.6111111111111,5.45555555555556,214.444444444444,46777.7777777778,0.8,489,14,0,0
2012-05-03,15.1222222222222,61.3333333333333,2.88888888888889,236.111111111111,67500,0,780,9,0,0
2012-05-04,17.4222222222222,54.1111111111111,2.15555555555556,219.444444444444,61166.6666666667,0,737,10,0,0
2012-05-05,13.3277777777778,89.0555555555556,3.48888888888889,227.777777777778,31277.7777777778,6.7,8,10,1,6
2012-05-06,12.6944444444444,84.3888888888889,3.1,233.333333333333,48233.3333333333,14.5,176,10,1,6
2012-05-07,12.4444444444444,81.5,1.47222222222222,200.555555555556,28111.1111111111,1.2,194,6,0.5,6
2012-05-08,15.8,67.6111111111111,2.79444444444444,222.222222222222,44111.1111111111,0.2,503,15,0,0
2012-05-09,18.4,75.3888888888889,5.12777777777778,225.555555555556,45555.5555555556,0.2,264,13,0,6
2012-05-10,21.6444444444444,66.2222222222222,2.36111111111111,201.666666666667,64555.5555555556,0,764,9,0,0
2012-05-11,24.4555555555556,59.6666666666667,3.55,234.444444444444,50555.5555555556,0.7,642,12,0,0
2012-05-12,13.3888888888889,58.6111111111111,4.07222222222222,206.111111111111,42222.2222222222,0.1,311,10,0,0
2012-05-13,11.55,53.2777777777778,3.81111111111111,58.8888888888889,52777.7777777778,0,641,9,0,0
2012-05-14,12.9611111111111,49.2222222222222,1.75555555555556,107.222222222222,52222.2222222222,0,758,7,0,0
2012-05-15,10.3777777777778,68.8888888888889,5.46666666666667,233.888888888889,31555.5555555556,0.8,297,16,0.5,0
2012-05-16,9.48333333333333,69.4444444444444,3.97222222222222,278.888888888889,37388.8888888889,3.1,273,10,1,6
2012-05-17,11.7444444444444,57.8888888888889,3.33888888888889,71.6666666666667,50055.5555555556,0,802,11,0,0
2012-05-18,16.4833333333333,58.2777777777778,2.60555555555556,185.555555555556,51111.1111111111,0.1,368,7,1,6
2012-05-19,18.1722222222222,72.8888888888889,2.47222222222222,89.4444444444444,31238.8888888889,6.3,513,12,0,0
2012-05-20,20.3888888888889,68.1111111111111,2.76666666666667,56.6666666666667,36238.8888888889,0,663,8,0,0
2012-05-21,18.9555555555556,74.0555555555556,3.88333333333333,238.333333333333,24055.5555555556,1.9,317,14,0,0
2012-05-22,19.5833333333333,72.1666666666667,2.33333333333333,275.555555555556,29055.5555555556,0,379,6,0,0
2012-05-23,18.7111111111111,86.3888888888889,4.58333333333333,223.888888888889,4711.11111111111,0.5,247,8,0,0
2012-05-24,22.95,62.6111111111111,3.11666666666667,111.111111111111,19233.3333333333,0,638,10,0,0
2012-05-25,21.2777777777778,39.3888888888889,5.98333333333333,52.2222222222222,53055.5555555556,0,864,13,0,0
2012-05-26,20.4444444444444,40.1666666666667,4.91666666666667,68.8888888888889,55277.7777777778,0,863,11,0,0
2012-05-27,17.9333333333333,55.5,2.77222222222222,62.2222222222222,47777.7777777778,0,263,7,0,0
2012-05-28,19.5166666666667,56.7777777777778,2.43888888888889,212.222222222222,37883.3333333333,0.1,686,8,0,0
2012-05-29,20.4444444444444,61.8333333333333,2.22222222222222,243.333333333333,31555.5555555556,0.8,573,10,0,0
2012-05-30,19.8555555555556,71.2777777777778,2.43333333333333,187.222222222222,20833.3333333333,0.7,604,10,0,0
2012-05-31,20.1,66.7777777777778,4.01111111111111,237.777777777778,23166.6666666667,0,320,11,0,0
2012-06-01,18.6444444444444,59,3.99444444444444,267.777777777778,42722.2222222222,0,116,10,0,0
2012-06-02,18.5944444444444,68.6666666666667,2.43888888888889,181.111111111111,19333.3333333333,0,496,8,0,0
2012-06-03,17.3777777777778,86.6111111111111,4.92777777777778,213.888888888889,24966.6666666667,14.5,71,15,1,6
2012-06-04,15.7555555555556,81.2222222222222,4.54444444444444,229.444444444444,33055.5555555556,6.6,134,16,0.5,3
2012-06-05,13.2111111111111,58.8888888888889,2.1,169.444444444444,49333.3333333333,0,497,6,0,0
2012-06-06,15.1666666666667,86.5555555555556,3.05555555555556,216.666666666667,29055.5555555556,2.6,141,11,1,6
2012-06-07,19.35,78.5,1.42777777777778,137.777777777778,40611.1111111111,9.1,134,10,0,0
2012-06-08,18.8944444444444,69.9444444444444,5.63333333333333,231.666666666667,50777.7777777778,0.2,364,12,0,3
2012-06-09,17.5055555555556,55.3888888888889,4.63333333333333,257.777777777778,53666.6666666667,0,544,11,0,0
2012-06-10,16.9166666666667,57.1111111111111,2.17222222222222,182.777777777778,54611.1111111111,0,575,6,0,0
2012-06-11,15.6444444444444,83.3888888888889,2.96111111111111,209.444444444444,30166.6666666667,9,211,11,1,6
2012-06-12,14.7944444444444,84.7777777777778,3.65555555555556,223.888888888889,33777.7777777778,0.5,13,9,0,6
2012-06-13,14.9055555555556,85.2777777777778,4.36111111111111,225.555555555556,26833.3333333333,5.3,90,16,1,6
