start,end,year,stateCode,name,slug
2021-03-27,2021-04-10,2021,HB,osterferien bremen 2021,osterferien bremen 2021-2021-HB
2021-05-14,2021-05-14,2021,HB,pfingstferien bremen 2021 (beweglicher ferientag),pfingstferien bremen 2021 (beweglicher ferientag)-2021-HB
2021-07-22,2021-09-01,2021,HB,sommerferien bremen 2021,sommerferien bremen 2021-2021-HB
2021-10-18,2021-10-30,2021,HB,herbstferien bremen 2021,herbstferien bremen 2021-2021-HB
2021-12-23,2022-01-08,2021,HB,weihnachtsferien bremen 2021,weihnachtsferien bremen 2021-2021-HB
2021-01-29,2021-01-29,2021,HH,winterferien hamburg 2021 (beweglicher ferientag),winterferien hamburg 2021 (beweglicher ferientag)-2021-HH
2021-03-01,2021-03-12,2021,HH,osterferien hamburg 2021,osterferien hamburg 2021-2021-HH
2021-05-10,2021-05-14,2021,HH,pfingstferien hamburg 2021,pfingstferien hamburg 2021-2021-HH
2021-06-24,2021-08-04,2021,HH,sommerferien hamburg 2021,sommerferien hamburg 2021-2021-HH
2021-10-04,2021-10-15,2021,HH,herbstferien hamburg 2021,herbstferien hamburg 2021-2021-HH
2021-12-23,2022-01-04,2021,HH,weihnachtsferien hamburg 2021,weihnachtsferien hamburg 2021-2021-HH
2021-04-06,2021-04-16,2021,HE,osterferien hessen 2021,osterferien hessen 2021-2021-HE
2021-07-19,2021-08-27,2021,HE,sommerferien hessen 2021,sommerferien hessen 2021-2021-HE
2021-10-11,2021-10-23,2021,HE,herbstferien hessen 2021,herbstferien hessen 2021-2021-HE
2021-12-23,2022-01-08,2021,HE,weihnachtsferien hessen 2021,weihnachtsferien hessen 2021-2021-HE
2021-02-06,2021-02-18,2021,MV,winterferien mecklenburg-vorpommern 2021,winterferien mecklenburg-vorpommern 2021-2021-MV
2021-02-19,2021-02-19,2021,MV,winterferien mecklenburg-vorpommern 2021 (beweglicher ferientag),winterferien mecklenburg-vorpommern 2021 (beweglicher ferientag)-2021-MV
2021-03-29,2021-04-07,2021,MV,osterferien mecklenburg-vorpommern 2021,osterferien mecklenburg-vorpommern 2021-2021-MV
2021-05-14,2021-05-14,2021,MV,pfingstferien mecklenburg-vorpommern 2021 (beweglicher ferientag),pfingstferien mecklenburg-vorpommern 2021 (beweglicher ferientag)-2021-MV
2021-05-21,2021-05-25,2021,MV,pfingstferien mecklenburg-vorpommern 2021,pfingstferien mecklenburg-vorpommern 2021-2021-MV
2021-06-21,2021-07-31,2021,MV,sommerferien mecklenburg-vorpommern 2021,sommerferien mecklenburg-vorpommern 2021-2021-MV
2021-10-02,2021-10-09,2021,MV,herbstferien mecklenburg-vorpommern 2021,herbstferien mecklenburg-vorpommern 2021-2021-MV
2021-11-01,2021-11-01,2021,MV,herbstferien mecklenburg-vorpommern 2021 (beweglicher ferientag),herbstferien mecklenburg-vorpommern 2021 (beweglicher ferientag)-2021-MV
2021-12-22,2021-12-31,2021,MV,weihnachtsferien mecklenburg-vorpommern 2021,weihnachtsferien mecklenburg-vorpommern 2021-2021-MV
2021-02-01,2021-02-02,2021,NI,winterferien niedersachsen 2021,winterferien niedersachsen 2021-2021-NI
2021-03-29,2021-04-09,2021,NI,osterferien niedersachsen 2021,osterferien niedersachsen 2021-2021-NI
2021-05-14,2021-05-14,2021,NI,pfingstferien niedersachsen 2021 (beweglicher ferientag),pfingstferien niedersachsen 2021 (beweglicher ferientag)-2021-NI
2021-07-22,2021-09-01,2021,NI,sommerferien niedersachsen 2021,sommerferien niedersachsen 2021-2021-NI
2021-10-18,2021-10-29,2021,NI,herbstferien niedersachsen 2021,herbstferien niedersachsen 2021-2021-NI
2021-12-23,2022-01-07,2021,NI,weihnachtsferien niedersachsen 2021,weihnachtsferien niedersachsen 2021-2021-NI
2021-03-29,2021-04-10,2021,NW,osterferien nordrhein-westfalen 2021,osterferien nordrhein-westfalen 2021-2021-NW
2021-05-25,2021-05-25,2021,NW,pfingstferien nordrhein-westfalen 2021 (beweglicher ferientag),pfingstferien nordrhein-westfalen 2021 (beweglicher ferientag)-2021-NW
2021-07-05,2021-08-17,2021,NW,sommerferien nordrhein-westfalen 2021,sommerferien nordrhein-westfalen 2021-2021-NW
2021-10-11,2021-10-23,2021,NW,herbstferien nordrhein-westfalen 2021,herbstferien nordrhein-westfalen 2021-2021-NW
2021-12-24,2022-01-08,2021,NW,weihnachtsferien nordrhein-westfalen 2021,weihnachtsferien nordrhein-westfalen 2021-2021-NW
2021-03-29,2021-04-06,2021,RP,osterferien rheinland-pfalz 2021,osterferien rheinland-pfalz 2021-2021-RP
2021-05-25,2021-06-02,2021,RP,pfingstferien rheinland-pfalz 2021,pfingstferien rheinland-pfalz 2021-2021-RP
2021-07-19,2021-08-27,2021,RP,sommerferien rheinland-pfalz 2021,sommerferien rheinland-pfalz 2021-2021-RP
2021-10-11,2021-10-22,2021,RP,herbstferien rheinland-pfalz 2021,herbstferien rheinland-pfalz 2021-2021-RP
2021-12-23,2021-12-31,2021,RP,weihnachtsferien rheinland-pfalz 2021,weihnachtsferien rheinland-pfalz 2021-2021-RP
2021-02-15,2021-02-19,2021,SL,winterferien saarland 2021,winterferien saarland 2021-2021-SL
2021-03-29,2021-04-07,2021,SL,osterferien saarland 2021,osterferien saarland 2021-2021-SL
2021-05-25,2021-05-28,2021,SL,pfingstferien saarland 2021,pfingstferien saarland 2021-2021-SL
2021-07-19,2021-08-27,2021,SL,sommerferien saarland 2021,sommerferien saarland 2021-2021-SL
2021-10-18,2021-10-29,2021,SL,herbstferien saarland 2021,herbstferien saarland 2021-2021-SL
2021-12-23,2022-01-03,2021,SL,weihnachtsferien saarland 2021,weihnachtsferien saarland 2021-2021-SL
2021-02-01,2021-02-07,2021,SN,winterferien sachsen 2021,winterferien sachsen 2021-2021-SN
2021-03-27,2021-04-10,2021,SN,osterferien sachsen 2021,osterferien sachsen 2021-2021-SN
2021-05-14,2021-05-14,2021,SN,pfingstferien sachsen 2021 (beweglicher ferientag),pfingstferien sachsen 2021 (beweglicher ferientag)-2021-SN
2021-07-26,2021-09-03,2021,SN,sommerferien sachsen 2021,sommerferien sachsen 2021-2021-SN
2021-10-18,2021-10-30,2021,SN,herbstferien sachsen 2021,herbstferien sachsen 2021-2021-SN
2021-12-23,2022-01-01,2021,SN,weihnachtsferien sachsen 2021,weihnachtsferien sachsen 2021-2021-SN
2021-02-08,2021-02-13,2021,ST,winterferien sachsen-anhalt 2021,winterferien sachsen-anhalt 2021-2021-ST
2021-03-29,2021-04-03,2021,ST,osterferien sachsen-anhalt 2021,osterferien sachsen-anhalt 2021-2021-ST
2021-05-10,2021-05-22,2021,ST,pfingstferien sachsen-anhalt 2021,pfingstferien sachsen-anhalt 2021-2021-ST
2021-07-22,2021-09-01,2021,ST,sommerferien sachsen-anhalt 2021,sommerferien sachsen-anhalt 2021-2021-ST
2021-10-25,2021-10-30,2021,ST,herbstferien sachsen-anhalt 2021,herbstferien sachsen-anhalt 2021-2021-ST
2021-12-22,2022-01-08,2021,ST,weihnachtsferien sachsen-anhalt 2021,weihnachtsferien sachsen-anhalt 2021-2021-ST
2021-04-01,2021-04-16,2021,SH,osterferien schleswig-holstein 2021,osterferien schleswig-holstein 2021-2021-SH
2021-05-14,2021-05-15,2021,SH,pfingstferien schleswig-holstein 2021,pfingstferien schleswig-holstein 2021-2021-SH
2021-06-21,2021-07-31,2021,SH,sommerferien schleswig-holstein 2021,sommerferien schleswig-holstein 2021-2021-SH
2021-10-04,2021-10-16,2021,SH,herbstferien schleswig-holstein 2021,herbstferien schleswig-holstein 2021-2021-SH
2021-12-23,2022-01-08,2021,SH,weihnachtsferien schleswig-holstein 2021,weihnachtsferien schleswig-holstein 2021-2021-SH
2021-01-25,2021-01-30,2021,TH,winterferien thüringen 2021,winterferien thüringen 2021-2021-TH
2021-03-29,2021-04-10,2021,TH,osterferien thüringen 2021,osterferien thüringen 2021-2021-TH
2021-05-14,2021-05-14,2021,TH,pfingstferien thüringen 2021 (beweglicher ferientag),pfingstferien thüringen 2021 (beweglicher ferientag)-2021-TH
2021-07-26,2021-09-04,2021,TH,sommerferien thüringen 2021,sommerferien thüringen 2021-2021-TH
2021-10-25,2021-11-06,2021,TH,herbstferien thüringen 2021,herbstferien thüringen 2021-2021-TH
2021-12-23,2021-12-31,2021,TH,weihnachtsferien thüringen 2021,weihnachtsferien thüringen 2021-2021-TH
2022-04-19,2022-04-23,2022,BW,osterferien baden-württemberg 2022,osterferien baden-württemberg 2022-2022-BW
2022-06-07,2022-06-18,2022,BW,pfingstferien baden-württemberg 2022,pfingstferien baden-württemberg 2022-2022-BW
2022-07-28,2022-09-10,2022,BW,sommerferien baden-württemberg 2022,sommerferien baden-württemberg 2022-2022-BW
2022-10-31,2022-10-31,2022,BW,herbstferien baden-württemberg 2022 (beweglicher ferientag),herbstferien baden-württemberg 2022 (beweglicher ferientag)-2022-BW
2022-11-02,2022-11-04,2022,BW,herbstferien baden-württemberg 2022,herbstferien baden-württemberg 2022-2022-BW
