"date","bike_count","weekday","is_weekend","temperature","humidity","windspeed","winddirection","visibility","precipitation","sun","windspeed_max","precip_indic","precip_type"
2014-06-10,7018,2,0,27.1388888888889,49.8888888888889,1.92222222222222,166.666666666667,35111.1111111111,0.1,344,6,0,0
2014-06-11,7562,3,0,25.6944444444444,56.0555555555556,3.63333333333333,171.666666666667,36222.2222222222,0,634,9,0,0
2014-06-12,7927,4,0,24.3611111111111,59.2777777777778,4.38888888888889,28.8888888888889,23444.4444444444,0,808,9,0,0
2014-06-13,8007,5,0,22.5111111111111,47.7222222222222,4.37777777777778,46.1111111111111,32555.5555555556,0,862,11,0,0
2014-06-14,5389,6,1,18.3555555555556,55.3333333333333,4.1,88.8888888888889,34000,0,420,11,0,0
2014-06-15,2893,7,1,19.3444444444444,46.3888888888889,4.82222222222222,44.4444444444444,54166.6666666667,0,735,12,0,0
2014-06-16,8502,1,0,19.3611111111111,49.1111111111111,4.5,45.5555555555556,46944.4444444444,0,578,11,0,0
2014-06-17,7959,2,0,19.1166666666667,54.3333333333333,4.17222222222222,29.4444444444444,35666.6666666667,0,573,10,0,0
2014-06-18,8542,3,0,21.3611111111111,45.8333333333333,3.81666666666667,56.1111111111111,35722.2222222222,0,768,10,0,0
2014-06-19,3470,4,0,20.3388888888889,52.5555555555556,2.93888888888889,143.333333333333,36888.8888888889,0,748,9,0,0
2014-06-20,6888,5,0,17.6444444444444,58.3888888888889,2.86111111111111,101.111111111111,27833.3333333333,0.1,177,10,0,0
2014-06-21,5529,6,1,18.7277777777778,49.2222222222222,2.43333333333333,161.666666666667,40000,0,782,9,0,0
2014-06-22,2913,7,1,20.3611111111111,45.7222222222222,2.55555555555556,106.666666666667,38777.7777777778,0,878,8,0,0
2014-06-23,8177,1,0,20.8944444444444,45.6111111111111,4.33888888888889,30,46388.8888888889,0,741,9,0,0
2014-06-24,8622,2,0,21.75,41.5,3.01666666666667,128.888888888889,49166.6666666667,0,872,8,0,0
2014-06-25,8031,3,0,18.2166666666667,55.1111111111111,4.00555555555556,73.3333333333333,31344.4444444444,1.1,460,10,0,0
2014-06-26,9153,4,0,18.9444444444444,43,3.14444444444444,155,59166.6666666667,0,880,8,0,0
2014-06-27,8125,5,0,21.3555555555556,45.2222222222222,2.60555555555556,240.555555555556,55277.7777777778,0,487,8,0,0
2014-06-28,4431,6,1,18.9777777777778,82.2222222222222,1.76111111111111,206.666666666667,26277.7777777778,3,78,6,0.5,3
2014-06-29,2134,7,1,18.0333333333333,76.2777777777778,5.17222222222222,245.555555555556,25733.3333333333,5,187,12,1,6
2014-06-30,6795,1,0,17.05,72.0555555555556,3.54444444444444,222.222222222222,22611.1111111111,0.4,317,10,1,6
2014-07-01,8496,2,0,19.3944444444444,53.3888888888889,2.45,94.4444444444444,43777.7777777778,0,769,12,0,0
2014-07-02,8757,3,0,20.9777777777778,46.4444444444444,2.87777777777778,120.555555555556,37500,0,773,8,0,0
2014-07-03,8451,4,0,23.2388888888889,50.5,2.57777777777778,227.222222222222,53888.8888888889,0,877,8,0,0
2014-07-04,8145,5,0,24.0166666666667,53.3333333333333,3.16111111111111,141.111111111111,39333.3333333333,3.3,552,13,0,0
2014-07-05,4735,6,1,20.7333333333333,74.5555555555556,5.45555555555556,230,31166.6666666667,0.5,55,13,0,0
2014-07-06,2673,7,1,25.5222222222222,56.1666666666667,3.03333333333333,222.222222222222,36305.5555555556,8.7,650,17,0,0
2014-07-07,6667,1,0,19.9611111111111,79.1666666666667,3.17222222222222,102.222222222222,19861.1111111111,1,137,8,0.5,0
2014-07-08,5174,2,0,15.8777777777778,91.6111111111111,5.67777777777778,238.333333333333,15444.4444444444,4.1,0,13,1,6
2014-07-09,4346,3,0,13.2777777777778,94.3333333333333,6.37222222222222,234.444444444444,7166.66666666667,9.5,0,14,1,6
2014-07-10,6828,4,0,15.5722222222222,85.5,2.98333333333333,255.555555555556,20944.4444444444,0.1,7,8,0,0
2014-07-11,7217,5,0,20.2166666666667,76.7222222222222,1.85,261.666666666667,18277.7777777778,0,320,8,0,0
2014-07-12,4123,6,1,18.8833333333333,86.5555555555556,3.39444444444444,228.333333333333,14388.8888888889,8.4,98,9,1,6
2014-07-13,2714,7,1,19.5666666666667,80.9444444444444,4.47222222222222,227.777777777778,25611.1111111111,2,246,12,0,0
2014-07-14,7780,1,0,20.6833333333333,77,4.28888888888889,239.444444444444,28666.6666666667,0.6,322,9,0,0
2014-07-15,7945,2,0,21.8777777777778,61.8888888888889,3.03333333333333,250.555555555556,37388.8888888889,0,846,7,0,0
2014-07-16,8156,3,0,23.4388888888889,58.6111111111111,1.68333333333333,190.555555555556,38444.4444444444,0,712,7,0,0
2014-07-17,8261,4,0,25.0333333333333,52.3888888888889,2.12777777777778,110,39055.5555555556,0,860,9,0,0
2014-07-18,7502,5,0,27.45,45.2777777777778,2.06666666666667,220,40833.3333333333,0,865,6,0,0
2014-07-19,5302,6,1,28.3,47.4444444444444,2.23333333333333,149.444444444444,35833.3333333333,0,752,8,0,0
2014-07-20,2269,7,1,22.2722222222222,80.5555555555556,2.62777777777778,215,25888.8888888889,1.5,27,10,1,6
2014-07-21,4420,1,0,18.7777777777778,95.1111111111111,4.47222222222222,216.111111111111,11333.3333333333,31.4,7,9,1,6
2014-07-22,5981,2,0,22.5277777777778,85.6666666666667,3.11111111111111,133.333333333333,10427.7777777778,8.4,142,9,1,6
2014-07-23,7959,3,0,24.25,60.2777777777778,3.81666666666667,66.1111111111111,26855.5555555556,0,727,10,0,0
2014-07-24,8288,4,0,23.9222222222222,52.5,3.35,70,29944.4444444444,0,811,9,0,0
2014-07-25,7972,5,0,22.9888888888889,60.2222222222222,2.33333333333333,156.666666666667,28611.1111111111,0,641,7,0,0
2014-07-26,5548,6,1,20.6277777777778,77.3888888888889,3.33888888888889,222.777777777778,17000,0.1,234,9,0,0
2014-07-27,3275,7,1,23.4,64.3333333333333,3.35555555555556,245.555555555556,25555.5555555556,0,611,8,0,0
2014-07-28,6446,1,0,20.9611111111111,80.6666666666667,2.08888888888889,205,19044.4444444444,9.7,158,13,0,0
2014-07-29,6260,2,0,18.0833333333333,89.4444444444444,4.47777777777778,231.111111111111,20888.8888888889,1.9,0,8,0,3
2014-07-30,5108,3,0,19.6333333333333,89.2222222222222,2.99444444444444,250,17900,8.3,2,8,1,6
2014-07-31,7749,4,0,21.9,66.6111111111111,1.39444444444444,202.222222222222,25111.1111111111,0,637,6,0,0
2014-08-01,7282,5,0,23.0055555555556,61.7222222222222,2.55555555555556,85,36500,0,817,8,0,0
2014-08-02,5214,6,1,22.0333333333333,72.3333333333333,2.1,232.222222222222,25666.6666666667,0,274,8,0,0
2014-08-03,2576,7,1,21.4611111111111,77.4444444444444,2.77777777777778,226.666666666667,29388.8888888889,0,221,8,0,0
2014-08-04,6234,1,0,20.55,73.7777777777778,3.26111111111111,243.333333333333,44000,3.4,522,10,0,0
2014-08-05,6226,2,0,19.0777777777778,78.1111111111111,2.35,226.666666666667,22538.8888888889,1.1,292,8,0,0
2014-08-06,6811,3,0,20.0833333333333,68.0555555555556,1.76111111111111,254.444444444444,25444.4444444444,0,512,7,0,0
2014-08-07,6672,4,0,21.4666666666667,74.4444444444444,1.76111111111111,203.333333333333,28722.2222222222,0.3,422,9,0,0
2014-08-08,6234,5,0,22.5166666666667,69.6111111111111,1.54444444444444,200.555555555556,37888.8888888889,0,605,7,0,0
2014-08-09,4515,6,1,22.65,59.8333333333333,5.53888888888889,241.111111111111,42166.6666666667,0,540,15,0,0
2014-08-10,2163,7,1,22.3666666666667,78.7222222222222,1.81111111111111,207.222222222222,27988.8888888889,5.2,150,8,0,0
2014-08-11,6389,1,0,20.0166666666667,61.0555555555556,3.56111111111111,246.666666666667,46944.4444444444,0,602,10,0,0
2014-08-12,6511,2,0,19.9666666666667,59,3.97222222222222,231.666666666667,56833.3333333333,0,577,10,0,0
2014-08-13,4464,3,0,16.1722222222222,84.6666666666667,2.8,155.555555555556,33333.3333333333,4.3,27,17,0.5,3
2014-08-14,5258,4,0,16.7444444444444,75.6111111111111,4.01666666666667,233.888888888889,42222.2222222222,10.1,290,12,0,0
2014-08-15,3203,5,0,15.3055555555556,85.2777777777778,4.78888888888889,229.444444444444,35666.6666666667,20,194,11,1,6
2014-08-16,3711,6,1,16.9111111111111,74.1666666666667,4.41111111111111,247.222222222222,36222.2222222222,1.8,319,11,0,0
2014-08-17,1905,7,1,18.0722222222222,64.5,5.36666666666667,240.555555555556,51111.1111111111,0,535,13,0,0
2014-08-18,4893,1,0,16.6833333333333,71.3888888888889,5.37222222222222,245,36666.6666666667,0.1,82,14,0,0
2014-08-19,5697,2,0,17.0944444444444,65.6111111111111,3.83333333333333,250,51111.1111111111,0,483,11,0,0
2014-08-20,5813,3,0,15.3,65.7222222222222,1.77222222222222,231.666666666667,45555.5555555556,0,279,5,0,0
2014-08-21,6005,4,0,16.0777777777778,64.6111111111111,3.36666666666667,243.888888888889,41000,0,744,8,0,0
2014-08-22,5437,5,0,16.0444444444444,63.1666666666667,2.70555555555556,198.888888888889,43333.3333333333,0,408,9,0,0
2014-08-23,3551,6,1,15.8833333333333,74.6111111111111,4.27222222222222,243.888888888889,34722.2222222222,7,264,11,0.5,0
2014-08-24,1852,7,1,15.2222222222222,68.5,4.03888888888889,232.222222222222,37222.2222222222,0,675,10,0,0
2014-08-25,4984,1,0,15.6055555555556,68.9444444444444,2.76111111111111,209.444444444444,40222.2222222222,0.2,95,8,0,0
2014-08-26,3925,2,0,17.1111111111111,88.8333333333333,4.62777777777778,216.666666666667,18250,17.4,121,11,1,6
2014-08-27,4946,3,0,17.6222222222222,79.2222222222222,2.3,169.444444444444,29638.8888888889,0.8,326,10,0,0
2014-08-28,6110,4,0,19.0611111111111,75.6666666666667,1.68888888888889,216.111111111111,29122.2222222222,0,474,6,0,0
2014-08-29,5628,5,0,20.9388888888889,71.7777777777778,3.21666666666667,235.555555555556,37777.7777777778,0,372,8,0,0
2014-08-30,4155,6,1,19.9111111111111,69.7222222222222,3.03333333333333,237.777777777778,38444.4444444444,0,513,9,0,0
2014-08-31,1075,7,1,15.75,90.1111111111111,4.32222222222222,237.222222222222,15505.5555555556,13.4,51,12,1,6
2014-09-01,5310,1,0,15.6333333333333,79.1111111111111,1.58888888888889,242.777777777778,19000,0,62,4,0,0
2014-09-02,5869,2,0,17.6277777777778,72,2.07777777777778,130.555555555556,24111.1111111111,0,338,7,0,0
2014-09-03,5663,3,0,16.3833333333333,78.8333333333333,5.08888888888889,43.3333333333333,19722.2222222222,0,0,11,0,0
2014-09-04,5794,4,0,17.8444444444444,80.2777777777778,3,60.5555555555556,10277.7777777778,0,0,7,0,0
2014-09-05,5983,5,0,19.4333333333333,81.1666666666667,1.40555555555556,223.333333333333,15711.1111111111,0.1,340,4,0,0
2014-09-06,4818,6,1,20.5555555555556,75.3333333333333,1.45555555555556,202.777777777778,17555.5555555556,0,601,6,0,0
2014-09-07,2393,7,1,20.55,74.8333333333333,1.50555555555556,209.444444444444,18944.4444444444,0,505,5,0,0
2014-09-08,6395,1,0,20.9333333333333,73.3333333333333,2.44444444444444,137.222222222222,11211.1111111111,0,471,6,0,0
2014-09-09,6567,2,0,19.1166666666667,71.7777777777778,3.55555555555556,32.2222222222222,9766.66666666667,0,570,8,0,0
2014-09-10,6529,3,0,16.6222222222222,66.6111111111111,4.23888888888889,27.2222222222222,20555.5555555556,0,392,9,0,0
2014-09-11,5627,4,0,14.2277777777778,79.8333333333333,1.88888888888889,126.666666666667,16555.5555555556,0.3,106,10,0.5,6
2014-09-12,2569,5,0,13.3611111111111,94.1666666666667,2.57777777777778,214.444444444444,5155.55555555556,31.5,0,8,1,6
2014-09-13,4503,6,1,17.2555555555556,86.0555555555556,2.47777777777778,61.1111111111111,9611.11111111111,0,1,7,0,0
2014-09-14,2266,7,1,18.1333333333333,80.7777777777778,3,40.5555555555556,17666.6666666667,0,257,8,0,0
2014-09-15,6746,1,0,17.8944444444444,80.7222222222222,3.15555555555556,60,18388.8888888889,0,449,8,0,0
2014-09-16,7219,2,0,18.4277777777778,78.2222222222222,1.58333333333333,129.444444444444,12227.7777777778,0,633,6,0,0
2014-09-17,7423,3,0,19.8111111111111,75,2.4,85.5555555555556,17338.8888888889,0,647,8,0,0
2014-09-18,6613,4,0,19.5,82.7777777777778,1.51111111111111,175,22611.1111111111,0.3,211,7,0,0
2014-09-19,6703,5,0,20.8388888888889,77.5,2.56111111111111,221.111111111111,34944.4444444444,0.5,388,8,0,0
2014-09-20,5698,6,1,20.3111111111111,77.3888888888889,3.08888888888889,217.222222222222,33000,0,548,8,0,0
2014-09-21,1850,7,1,17.2777777777778,89.2222222222222,3.31666666666667,228.888888888889,13666.6666666667,9.4,70,9,0.5,0
2014-09-22,5698,1,0,12.0888888888889,84.8888888888889,3.66666666666667,247.777777777778,13944.4444444444,2.3,133,15,0,0
2014-09-23,6473,2,0,11.7611111111111,77.6666666666667,2.84444444444444,141.666666666667,16533.3333333333,0,534,9,0,0
2014-09-24,6306,3,0,11.7944444444444,82.9444444444444,2.81666666666667,225,14188.8888888889,0,61,7,0,0
2014-09-25,6230,4,0,14.3666666666667,79.9444444444444,3.77222222222222,230,16888.8888888889,0,131,9,0,0
2014-09-26,6576,5,0,15.1444444444444,74.6111111111111,3.55,225.555555555556,31000,0,564,8,0,0
2014-09-27,4957,6,1,17.6166666666667,73.8888888888889,2.88888888888889,64.4444444444444,37777.7777777778,0,330,8,0,0
2014-09-28,2632,7,1,16.3611111111111,81.8333333333333,1.21111111111111,176.111111111111,24527.7777777778,0,586,4,0,0
2014-09-29,6906,1,0,18.7888888888889,74.8333333333333,1.84444444444444,220.555555555556,29555.5555555556,0,497,6,0,0
2014-09-30,6593,2,0,18.0166666666667,85.8888888888889,1.77222222222222,206.666666666667,21833.3333333333,0.5,17,5,0,0
2014-10-01,7095,3,0,17.2222222222222,82.3333333333333,1.2,217.777777777778,11950,0,426,5,0,0
2014-10-02,7406,4,0,16.6777777777778,78.4444444444444,2.37777777777778,43.3333333333333,17400,0,605,8,0,0
2014-10-03,2639,5,0,16.8611111111111,73.9444444444444,3.40555555555556,58.8888888888889,16888.8888888889,0,623,8,0,0
2014-10-04,4963,6,1,15.6055555555556,74.2222222222222,2.18888888888889,114.444444444444,18388.8888888889,0,571,6,0,0
2014-10-05,2125,7,1,13.3666666666667,85.6666666666667,2.93333333333333,54.4444444444444,8833.33333333333,0,157,7,0,0
2014-10-06,6780,1,0,15.85,82.5555555555556,1.61111111111111,125.555555555556,15161.1111111111,0.1,261,5,0,0
2014-10-07,5880,2,0,15.6555555555556,84.2777777777778,3.76111111111111,194.444444444444,32888.8888888889,3.7,18,17,1,6
2014-10-08,6214,3,0,15.2722222222222,92.1111111111111,1.07222222222222,90,27333.3333333333,2.2,16,3,0.5,6
2014-10-09,6161,4,0,17.8944444444444,84,1.96111111111111,188.333333333333,31111.1111111111,2.8,84,9,1,6
2014-10-10,5286,5,0,16.3611111111111,91.6666666666667,1.22777777777778,126.111111111111,10355.5555555556,3.4,0,4,1,6
2014-10-11,3886,6,1,16.1777777777778,90.9444444444444,2.05555555555556,236.111111111111,24161.1111111111,0,39,7,0,0
2014-10-12,2933,7,1,14.7333333333333,90.3333333333333,3.1,37.2222222222222,20572.2222222222,1.3,270,9,0,0
